Time	Open	High	Low	Close	Volume
2023-01-12 00:00:00	1.2158	1.22465	1.20879	1.22159	284513	15
2023-01-13 00:00:00	1.22158	1.22483	1.21498	1.2223	205516	19
2023-01-15 00:00:00	1.22125	1.22332	1.22104	1.22222	15721	134
2023-01-16 00:00:00	1.22221	1.22887	1.21711	1.22075	175261	20
2023-01-17 00:00:00	1.2208	1.23001	1.21688	1.22826	187895	13
2023-01-18 00:00:00	1.22827	1.24355	1.22536	1.23458	238529	17
2023-01-19 00:00:00	1.23464	1.23977	1.23126	1.23916	167324	16
2023-01-20 00:00:00	1.23913	1.2404	1.2335	1.23942	147107	14
2023-01-22 00:00:00	1.24006	1.24139	1.23971	1.24058	5726	36
2023-01-23 00:00:00	1.24058	1.24476	1.23231	1.23779	133127	17
2023-01-24 00:00:00	1.23781	1.24134	1.22628	1.23309	139632	16
2023-01-25 00:00:00	1.23311	1.24179	1.22828	1.24097	132043	14
2023-01-26 00:00:00	1.24097	1.24302	1.23441	1.24134	138919	14
2023-01-27 00:00:00	1.24135	1.24184	1.2345	1.2396	111247	17
2023-01-29 00:00:00	1.23882	1.24005	1.2376	1.23995	6056	81
2023-01-30 00:00:00	1.23997	1.24173	1.23365	1.23493	129366	13
2023-01-31 00:00:00	1.23495	1.23708	1.22838	1.23078	139415	13
2023-02-01 00:00:00	1.23077	1.2401	1.22719	1.23866	210475	10
2023-02-02 00:00:00	1.23865	1.24	1.22188	1.22205	204302	18
2023-02-03 00:00:00	1.22205	1.22651	1.20471	1.20531	189023	13
2023-02-05 00:00:00	1.2033	1.20565	1.20301	1.20427	11613	69
2023-02-06 00:00:00	1.20428	1.20771	1.20051	1.20254	155003	14
2023-02-07 00:00:00	1.20254	1.20948	1.19608	1.20534	263030	17
2023-02-08 00:00:00	1.20534	1.21092	1.20379	1.20697	131994	12
2023-02-09 00:00:00	1.20698	1.21936	1.20562	1.2115	160897	18
2023-02-10 00:00:00	1.21151	1.2139	1.20468	1.20575	140490	13
2023-02-12 00:00:00	1.20656	1.20656	1.20458	1.20506	6239	102
2023-02-13 00:00:00	1.20505	1.21519	1.20305	1.21498	129832	16
2023-02-14 00:00:00	1.21498	1.22696	1.2117	1.21734	196007	12
2023-02-15 00:00:00	1.21735	1.21812	1.19894	1.20364	159064	11
2023-02-16 00:00:00	1.20364	1.20737	1.19651	1.19735	169971	13
2023-02-17 00:00:00	1.19737	1.20491	1.19145	1.20297	134879	15
2023-02-19 00:00:00	1.20254	1.20365	1.20242	1.20282	14317	60
2023-02-20 00:00:00	1.20284	1.20564	1.20143	1.20378	149645	15
2023-02-21 00:00:00	1.20378	1.21473	1.19854	1.21086	212488	11
2023-02-22 00:00:00	1.21087	1.2135	1.20345	1.20463	209693	13
2023-02-23 00:00:00	1.20465	1.20744	1.19918	1.20163	204760	12
2023-02-24 00:00:00	1.20162	1.20414	1.19279	1.19363	211969	12
2023-02-26 00:00:00	1.19499	1.19541	1.19401	1.19489	14960	105
2023-02-27 00:00:00	1.19492	1.20672	1.1922	1.20616	205146	17
2023-02-28 00:00:00	1.20618	1.21428	1.20105	1.20326	263870	12
2023-03-01 00:00:00	1.20324	1.20884	1.19647	1.20259	229525	15
2023-03-02 00:00:00	1.20259	1.20362	1.19247	1.19486	220901	14
2023-03-03 00:00:00	1.19487	1.20482	1.19475	1.20437	163053	13
2023-03-05 00:00:00	1.20253	1.20371	1.2022	1.20269	11529	171
2023-03-06 00:00:00	1.20268	1.20487	1.19925	1.20244	159092	17
2023-03-07 00:00:00	1.20242	1.20649	1.18207	1.18264	244275	17
2023-03-08 00:00:00	1.18265	1.18586	1.18024	1.18486	208793	12
2023-03-09 00:00:00	1.18488	1.19385	1.18316	1.19223	179705	15
2023-03-10 00:00:00	1.19223	1.21131	1.19072	1.20244	360325	15
2023-03-12 00:00:00	1.20816	1.2103	1.2064	1.20747	69171	40
2023-03-13 00:00:00	1.20749	1.21992	1.20459	1.21662	478671	24
2023-03-14 00:00:00	1.21664	1.22034	1.21352	1.21501	414156	15
2023-03-15 00:00:00	1.21502	1.21815	1.20097	1.20669	429541	15
2023-03-16 00:00:00	1.20669	1.21275	1.20265	1.21089	374952	16
2023-03-17 00:00:00	1.21088	1.22003	1.21015	1.21726	209328	16
2023-03-19 00:00:00	1.21998	1.22063	1.21767	1.21864	36147	198
2023-03-20 00:00:00	1.21863	1.22846	1.21666	1.22731	313553	18
2023-03-21 00:00:00	1.22731	1.2282	1.21784	1.22242	166753	17
2023-03-22 00:00:00	1.22241	1.23346	1.22079	1.22768	274518	15
2023-03-23 00:00:00	1.22767	1.23432	1.22612	1.22801	239695	17
2023-03-24 00:00:00	1.22802	1.22884	1.21898	1.22278	193295	13
2023-03-26 00:00:00	1.22224	1.22494	1.22224	1.22444	15553	126
2023-03-27 00:00:00	1.22443	1.22975	1.22186	1.22959	181169	12
2023-03-28 00:00:00	1.2296	1.23491	1.22807	1.23298	109542	12
2023-03-29 00:00:00	1.23299	1.23614	1.23023	1.23097	141043	11
2023-03-30 00:00:00	1.23097	1.23927	1.2293	1.23865	151113	13
2023-03-31 00:00:00	1.23862	1.24227	1.2324	1.23287	165759	11
2023-04-02 00:00:00	1.23274	1.23307	1.22836	1.22855	30652	82
2023-04-03 00:00:00	1.22856	1.2425	1.2274	1.24196	159026	12
2023-04-04 00:00:00	1.24198	1.2525	1.23947	1.24983	159466	12
2023-04-05 00:00:00	1.24984	1.25141	1.24323	1.24621	164326	12
2023-04-06 00:00:00	1.24617	1.24867	1.24123	1.24375	126156	12
2023-04-07 00:00:00	1.24376	1.24557	1.23888	1.24113	130264	14
2023-04-09 00:00:00	1.24168	1.24307	1.24167	1.24301	10951	204
2023-04-10 00:00:00	1.24303	1.24423	1.2344	1.23909	129730	14
2023-04-11 00:00:00	1.23907	1.24559	1.23863	1.2429	129987	11
2023-04-12 00:00:00	1.24288	1.24953	1.2398	1.24914	146219	13
2023-04-13 00:00:00	1.24915	1.25373	1.24774	1.2524	138844	12
2023-04-14 00:00:00	1.25238	1.25459	1.23988	1.24107	145686	12
2023-04-16 00:00:00	1.23985	1.24163	1.23976	1.24007	13065	236
2023-04-17 00:00:00	1.24008	1.24378	1.23528	1.23729	119258	10
2023-04-18 00:00:00	1.2373	1.24497	1.23672	1.24243	112394	10
2023-04-19 00:00:00	1.24242	1.2474	1.23922	1.24276	123079	11
2023-04-20 00:00:00	1.24278	1.24675	1.24044	1.24396	133609	12
2023-04-21 00:00:00	1.24396	1.24479	1.23666	1.24351	135669	12
2023-04-23 00:00:00	1.24359	1.24518	1.24341	1.24472	6217	122
2023-04-24 00:00:00	1.2447	1.24994	1.24102	1.24986	109787	10
2023-04-25 00:00:00	1.24985	1.25066	1.23863	1.24135	137386	11
2023-04-26 00:00:00	1.24139	1.2515	1.24022	1.24704	145894	11
2023-04-27 00:00:00	1.24704	1.24994	1.24359	1.24965	166335	11
2023-04-28 00:00:00	1.24965	1.25837	1.24462	1.25608	165271	10
2023-04-30 00:00:00	1.25538	1.25686	1.25538	1.25575	15545	120
2023-05-01 00:00:00	1.25574	1.25689	1.24802	1.24843	141273	10
2023-05-02 00:00:00	1.2484	1.2512	1.24352	1.24761	152742	10
2023-05-03 00:00:00	1.24762	1.25895	1.24676	1.25684	201946	12
2023-05-04 00:00:00	1.25685	1.25984	1.25478	1.25824	196910	10
2023-05-05 00:00:00	1.25826	1.26522	1.25581	1.2624	124219	11
2023-05-07 00:00:00	1.26263	1.26351	1.26247	1.26293	10624	123
2023-05-08 00:00:00	1.26294	1.26685	1.26103	1.26119	94730	11
2023-05-09 00:00:00	1.26121	1.26398	1.25777	1.26238	111030	11
2023-05-10 00:00:00	1.26238	1.26794	1.26022	1.26252	123367	11
2023-05-11 00:00:00	1.26251	1.26403	1.24962	1.25071	164212	11
2023-05-12 00:00:00	1.25072	1.25406	1.24437	1.24437	92278	11
2023-05-14 00:00:00	1.24542	1.24562	1.24432	1.24507	16676	119
2023-05-15 00:00:00	1.24506	1.25342	1.24449	1.25243	95281	11
2023-05-16 00:00:00	1.25243	1.25461	1.24651	1.24836	121514	11
2023-05-17 00:00:00	1.24837	1.25099	1.24212	1.2482	124842	10
2023-05-18 00:00:00	1.2482	1.24926	1.23911	1.24109	125246	11
2023-05-19 00:00:00	1.24109	1.24835	1.23916	1.24411	138776	12
2023-05-21 00:00:00	1.24354	1.24607	1.24352	1.24604	10580	172
2023-05-22 00:00:00	1.24605	1.24719	1.24135	1.24335	128246	12
2023-05-23 00:00:00	1.24336	1.24464	1.23723	1.24161	136128	10
2023-05-24 00:00:00	1.2416	1.24691	1.23575	1.23693	161434	9
2023-05-25 00:00:00	1.23697	1.23867	1.23076	1.23162	145974	11
2023-05-26 00:00:00	1.23163	1.23952	1.23105	1.23437	120931	11
2023-05-28 00:00:00	1.23326	1.23516	1.23325	1.23447	12802	137
2023-05-29 00:00:00	1.23448	1.23714	1.23348	1.2347	79625	11
2023-05-30 00:00:00	1.23471	1.24461	1.23267	1.24118	120536	11
2023-05-31 00:00:00	1.24119	1.24492	1.23476	1.24447	166842	10
2023-06-01 00:00:00	1.24445	1.25394	1.24006	1.25262	132301	11
2023-06-02 00:00:00	1.25261	1.25443	1.24412	1.24434	119561	11
2023-06-04 00:00:00	1.24474	1.24501	1.24266	1.24302	14117	298
2023-06-05 00:00:00	1.24301	1.24433	1.23681	1.24319	110282	11
2023-06-06 00:00:00	1.24318	1.24584	1.23915	1.24288	106762	11
2023-06-07 00:00:00	1.24287	1.24997	1.23946	1.24443	110431	11
2023-06-08 00:00:00	1.24441	1.25631	1.24411	1.25577	116794	11
2023-06-09 00:00:00	1.25577	1.259	1.25338	1.25754	107968	10
2023-06-11 00:00:00	1.25644	1.25827	1.25558	1.25793	5850	181
2023-06-12 00:00:00	1.25799	1.25992	1.24865	1.25143	102796	9
2023-06-13 00:00:00	1.25143	1.26244	1.25131	1.26061	137333	11
2023-06-14 00:00:00	1.26059	1.26987	1.26005	1.26704	145723	11
2023-06-15 00:00:00	1.26706	1.27901	1.26292	1.27844	148185	11
2023-06-16 00:00:00	1.27843	1.28481	1.27678	1.28173	136722	10
2023-06-18 00:00:00	1.28133	1.28325	1.28133	1.28308	10004	109
2023-06-19 00:00:00	1.28309	1.28368	1.27702	1.27926	98249	9
2023-06-20 00:00:00	1.27926	1.28058	1.27132	1.27651	146467	10
2023-06-21 00:00:00	1.27651	1.28017	1.26908	1.27701	167996	10
2023-06-22 00:00:00	1.27702	1.28397	1.27252	1.27463	178589	11
2023-06-23 00:00:00	1.27462	1.27486	1.26851	1.27125	144212	11
2023-06-25 00:00:00	1.27057	1.27311	1.27034	1.27285	18326	137
2023-06-26 00:00:00	1.27285	1.27484	1.26877	1.27104	145470	10
2023-06-27 00:00:00	1.27105	1.27592	1.2703	1.2745	141610	11
2023-06-28 00:00:00	1.27452	1.27516	1.26064	1.26413	128966	11
2023-06-29 00:00:00	1.26415	1.26666	1.25908	1.26129	133155	10
2023-06-30 00:00:00	1.26129	1.27273	1.2599	1.26902	117393	10
2023-07-02 00:00:00	1.26892	1.27045	1.26892	1.26931	11310	167
2023-07-03 00:00:00	1.26931	1.27229	1.26582	1.26918	114172	10
2023-07-04 00:00:00	1.26917	1.27392	1.26831	1.2717	72644	10
2023-07-05 00:00:00	1.27169	1.27353	1.26879	1.27037	100772	11
2023-07-06 00:00:00	1.27041	1.27805	1.26732	1.27413	136415	11
2023-07-07 00:00:00	1.27412	1.28491	1.27255	1.28343	112125	11
2023-07-09 00:00:00	1.28307	1.28412	1.28296	1.28374	13420	123
2023-07-10 00:00:00	1.28375	1.28681	1.27502	1.28635	122447	9
2023-07-11 00:00:00	1.28634	1.29392	1.28575	1.29333	105591	10
2023-07-12 00:00:00	1.29334	1.30001	1.29038	1.29955	118561	9
2023-07-13 00:00:00	1.29956	1.31406	1.29828	1.31278	123369	10
2023-07-14 00:00:00	1.31278	1.31421	1.30859	1.30859	117617	11
2023-07-16 00:00:00	1.30893	1.31007	1.30827	1.30891	18067	203
2023-07-17 00:00:00	1.30892	1.31089	1.30506	1.30712	100298	8
2023-07-18 00:00:00	1.30712	1.31255	1.30278	1.30332	122157	11
2023-07-19 00:00:00	1.30331	1.30385	1.28674	1.2937	151985	10
2023-07-20 00:00:00	1.2937	1.29643	1.28395	1.28722	119232	10
2023-07-21 00:00:00	1.28724	1.29038	1.28156	1.28515	109855	8
2023-07-23 00:00:00	1.28455	1.28579	1.28454	1.28518	4055	102
2023-07-24 00:00:00	1.28519	1.28834	1.27976	1.28118	130437	11
2023-07-25 00:00:00	1.28116	1.29044	1.28091	1.28929	122961	11
2023-07-26 00:00:00	1.28927	1.296	1.2875	1.29267	165516	10
2023-07-27 00:00:00	1.29268	1.29953	1.27814	1.27928	171572	8
2023-07-28 00:00:00	1.27928	1.28875	1.27626	1.28455	170278	10
2023-07-30 00:00:00	1.28381	1.28581	1.28381	1.2853	9346	237
2023-07-31 00:00:00	1.28531	1.28724	1.2828	1.28312	109201	10
2023-08-01 00:00:00	1.28312	1.28385	1.27407	1.27941	144082	10
2023-08-02 00:00:00	1.27944	1.27986	1.26802	1.27185	132016	9
2023-08-03 00:00:00	1.27183	1.27278	1.26202	1.27151	147547	10
2023-08-04 00:00:00	1.27153	1.27918	1.26857	1.27426	139839	9
2023-08-06 00:00:00	1.27512	1.27618	1.27382	1.27483	12754	124
